participant.label,conjoint_app.1.player.device_type,conjoint_app.1.player.operating_system,conjoint_app.1.player.browser,conjoint_app.1.player.lang,conjoint_app.1.player.use_of_device,demographic_app.1.player.rent,demographic_app.1.player.income,demographic_app.1.player.edu_father,demographic_app.1.player.edu_mother,demographic_app.1.player.ocu_father,demographic_app.1.player.ocu_mother,demographic_app.1.player.age,demographic_app.1.player.gender,demographic_app.1.player.postcode,demographic_app.1.player.tutorial,demographic_app.1.player.grade,network_app.1.player.linksrechts_self,political_app.1.player.sunday_poll,political_app.1.player.sunday_party_vote,political_app.1.player.sunday_not_eligible,political_app.1.player.noteligible_sunday_party_vote,political_app.1.player.scalo_cdu,political_app.1.player.scalo_csu,political_app.1.player.scalo_spd,political_app.1.player.scalo_gruene,political_app.1.player.scalo_fdp,political_app.1.player.scalo_afd,political_app.1.player.scalo_linke,political_app.1.player.scalo_bsw,political_app.1.player.scalo_pep1,political_app.1.player.scalo_pep2,political_app.1.player.scalo_pep3,political_app.1.player.scalo_pep4,political_app.1.player.scalo_pep5,political_app.1.player.scalo_pep6,political_app.1.player.scalo_pep7,political_app.1.player.scalo_pep8,political_app.1.player.scalo_pep9,political_app.1.player.scalo_pep10,political_app.1.player.scalo_pep11,political_app.1.player.scalo_pep12,political_app.1.player.scalo_pep13,political_app.1.player.scalo_pep14,political_app.1.player.scalo_pep15,political_app.1.player.scalo_pep16,political_app.1.player.politics_question_one,political_app.1.player.politics_question_two,political_app.1.player.politics_question_three,political_app.1.player.politics_question_four,political_app.1.player.politics_question_five,political_app.1.player.politics_question_six,political_app.1.player.politics_question_seven,political_app.1.player.lr_CDU,political_app.1.player.lr_CSU,political_app.1.player.lr_SPD,political_app.1.player.lr_Gruene,political_app.1.player.lr_FDP,political_app.1.player.lr_Linke,political_app.1.player.lr_AfD,political_app.1.player.lr_BSW
uqy,3.0,2.0,3.0,0.0,2.0,,,2.0,3.0,1.0,1.0,21.0,2.0,12.0,4.0,4.0,0,1.0,5.0,,,-2.0,-2.0,0.0,1.0,-3.0,-5.0,3.0,-5.0,2,1,3,-3,-5,-1,-5,3,2,-5,-5,-2,2,-5,-2,-5,4,4,4,3,4,3,4,8,8,5,5,6,2,10,7
add,3.0,1.0,2.0,0.0,2.0,,,4.0,4.0,1.0,1.0,19.0,1.0,72.0,8.0,2.0,2,1.0,1.0,,,-4.0,-4.0,5.0,4.0,-4.0,-5.0,4.0,-5.0,3,5,4,-5,-5,4,-5,4,3,-5,-5,-5,4,-5,-5,-5,4,3,4,3,4,5,5,10,10,5,6,9,2,11,11
kvq,3.0,2.0,3.0,0.0,2.0,,,1.0,1.0,1.0,1.0,20.0,1.0,75.0,7.0,2.3,3,1.0,3.0,,,-4.0,-4.0,2.0,3.0,-3.0,-5.0,0.0,-3.0,3,2,0,-4,-4,4,-5,3,-1,-5,-5,-4,3,-5,-4,-4,4,2,4,2,4,5,4,8,9,5,4,5,2,11,2
tcc,3.0,2.0,3.0,0.0,2.0,,,3.0,3.0,1.0,1.0,19.0,2.0,70.0,4.0,2.7,3,1.0,1.0,,,-3.0,-3.0,4.0,1.0,-2.0,-5.0,-1.0,-3.0,1,2,3,-3,-3,3,-5,2,-3,-5,-5,-3,2,-5,-4,-4,4,4,4,4,4,4,4,9,9,4,4,8,2,11,9
bgq,2.0,5.0,3.0,0.0,1.0,,,2.0,2.0,1.0,1.0,18.0,2.0,58.0,2.0,2.7,0,1.0,1.0,,,1.0,0.0,3.0,-2.0,-5.0,-5.0,-5.0,0.0,2,-3,2,-4,-5,-2,-3,0,0,-5,-5,1,-3,-5,-3,-5,4,3,4,1,5,4,4,7,7,5,4,1,1,11,3
39b,2.0,5.0,3.0,0.0,1.0,,,2.0,2.0,1.0,1.0,18.0,1.0,88.0,6.0,2.7,3,1.0,3.0,,,-3.0,-4.0,3.0,2.0,-2.0,-5.0,2.0,-3.0,2,3,0,-3,-4,2,-4,1,-1,-2,-5,-4,2,-4,-3,-3,4,3,5,4,4,4,4,8,7,4,3,5,2,11,4
hoc,3.0,2.0,3.0,0.0,1.0,,,1.0,3.0,1.0,1.0,19.0,2.0,72.0,4.0,1.7,0,1.0,3.0,,,-2.0,-3.0,2.0,3.0,-3.0,-5.0,1.0,-1.0,-3,2,1,-3,-3,-2,-4,3,-1,-5,-5,-3,-1,-5,-3,-4,5,3,5,3,4,4,4,8,9,5,3,7,1,11,7
vgg,3.0,2.0,3.0,0.0,2.0,,,2.0,3.0,1.0,1.0,19.0,1.0,7.0,2.0,2.7,5,1.0,1.0,,,-3.0,-4.0,3.0,3.0,-2.0,-5.0,-3.0,-5.0,-1,3,3,-3,-3,4,-5,3,1,-5,-5,-5,2,-4,-3,-5,4,3,4,4,5,5,4,8,9,6,4,7,2,11,10
avr,3.0,1.0,3.0,1.0,1.0,,,4.0,3.0,1.0,1.0,21.0,1.0,0.0,-999.0,3.0,0,4.0,,1.0,3.0,-999.0,-999.0,-999.0,3.0,-999.0,-5.0,3.0,-999.0,2,2,-999,-999,-999,2,-5,-999,4,-5,-999,-999,-999,-999,-999,-999,2,-999,1,-999,4,3,4,-999,-999,-999,-999,-999,-999,-999,-999
qqt,3.0,1.0,3.0,1.0,1.0,,,2.0,2.0,1.0,0.0,21.0,1.0,0.0,8.0,2.0,0,4.0,,1.0,5.0,3.0,-999.0,-999.0,-999.0,-999.0,-5.0,-999.0,-999.0,3,5,2,2,2,-999,-5,-999,2,-5,-999,2,-999,-4,-999,-5,2,3,1,1,4,4,4,-999,-999,-999,-999,-999,-999,-999,-999
mw9,3.0,2.0,3.0,0.0,2.0,,,2.0,1.0,1.0,1.0,19.0,1.0,70.0,5.0,3.0,3,1.0,3.0,,,-2.0,-4.0,2.0,3.0,0.0,-5.0,-2.0,-4.0,-2,4,-2,-2,-4,0,-5,3,3,-5,-5,-3,2,-5,-3,-5,5,3,5,3,5,5,5,7,9,3,3,6,1,11,6
bqh,3.0,2.0,3.0,0.0,2.0,,,3.0,4.0,1.0,1.0,19.0,1.0,22.0,7.0,3.0,2,1.0,3.0,,,-4.0,-4.0,0.0,2.0,-4.0,-5.0,4.0,-3.0,-1,0,0,-4,-5,0,-5,3,5,-5,-5,-4,0,-5,-4,-5,-999,4,4,2,3,4,3,10,10,6,5,8,2,11,8
udg,3.0,2.0,3.0,0.0,2.0,,,1.0,4.0,1.0,1.0,19.0,1.0,89.0,3.0,3.0,5,1.0,1.0,,,1.0,1.0,3.0,0.0,-3.0,-5.0,-3.0,-5.0,-2,3,1,0,-3,1,-5,4,1,-5,-999,-2,-2,-5,-5,-2,4,3,2,4,4,4,4,8,8,4,2,9,1,11,10
bga,3.0,2.0,3.0,0.0,2.0,,,4.0,4.0,1.0,1.0,19.0,2.0,73.0,5.0,2.3,4,1.0,3.0,,,0.0,-1.0,2.0,4.0,-2.0,-5.0,-2.0,-4.0,1,1,4,-3,-4,3,-5,5,2,-5,-5,-3,4,-5,-4,-5,5,3,4,4,4,4,4,8,9,5,4,8,2,11,8
uwx,3.0,2.0,3.0,0.0,2.0,,,2.0,3.0,0.0,1.0,20.0,2.0,78.0,1.0,3.3,5,1.0,1.0,,,2.0,-3.0,3.0,-2.0,-3.0,-4.0,0.0,-3.0,-2,2,-2,-3,-3,0,-2,1,2,-4,-4,-3,-2,-3,-1,-999,4,2,4,2,3,3,4,8,9,5,4,7,2,10,8
vkv,3.0,2.0,3.0,0.0,1.0,,,-999.0,4.0,-999.0,1.0,21.0,2.0,0.0,1.0,3.3,0,4.0,,1.0,3.0,4.0,4.0,3.0,4.0,,-5.0,-3.0,-5.0,2,3,-999,4,4,5,-3,5,0,-5,-999,-999,4,-5,-5,4,4,4,4,4,5,-999,4,7,7,3,4,5,2,10,1
rxs,3.0,2.0,3.0,0.0,2.0,,,3.0,3.0,1.0,1.0,,1.0,79.0,3.0,-999.0,3,1.0,1.0,,,-2.0,-4.0,4.0,3.0,-3.0,-5.0,4.0,-5.0,3,3,3,-5,-5,3,-5,2,3,-5,-5,-5,3,-5,-4,-4,4,4,4,3,4,4,-999,8,9,5,5,7,1,11,8
wen,3.0,2.0,3.0,0.0,1.0,,,3.0,3.0,1.0,1.0,25.0,2.0,0.0,6.0,1.7,7,4.0,,1.0,4.0,3.0,3.0,-1.0,1.0,2.0,-5.0,-3.0,-3.0,-3,-2,0,-2,-2,-1,-4,-1,-2,-5,1,1,0,-5,-1,-5,4,3,4,4,4,4,4,7,6,3,5,8,1,11,3
byq,3.0,2.0,3.0,0.0,2.0,,,3.0,3.0,1.0,1.0,19.0,1.0,83.0,2.0,-999.0,1,1.0,5.0,,,-5.0,-5.0,1.0,1.0,-5.0,-5.0,3.0,-5.0,-4,-3,1,-5,-5,-2,-5,-3,4,-5,-5,-5,-3,-5,-5,-5,4,2,5,1,4,4,3,10,10,6,5,9,3,11,11
ack,3.0,1.0,3.0,0.0,1.0,,,1.0,3.0,1.0,1.0,19.0,1.0,67.0,3.0,2.7,0,1.0,2.0,,,4.0,4.0,4.0,0.0,1.0,-4.0,-5.0,-4.0,-2,0,-5,-999,-3,2,-1,-4,-4,-5,-5,-2,-4,-4,-4,-3,4,2,3,2,4,4,3,8,8,3,2,6,1,10,1
4ww,3.0,2.0,3.0,1.0,1.0,,,3.0,1.0,1.0,1.0,18.0,2.0,88.0,4.0,2.3,0,1.0,5.0,,,-4.0,-4.0,2.0,3.0,-5.0,-5.0,4.0,-3.0,2,1,5,-5,-5,4,-5,4,4,-5,-5,-4,2,-5,-4,-5,4,2,5,2,4,4,4,-999,-999,-999,-999,-999,-999,-999,-999
hry,3.0,2.0,3.0,0.0,2.0,,,3.0,3.0,1.0,0.0,18.0,1.0,71.0,2.0,3.7,7,1.0,3.0,,,-1.0,-4.0,2.0,3.0,3.0,-5.0,-5.0,-4.0,1,4,2,2,-3,0,-5,4,0,-5,-5,-5,1,-4,-1,1,4,1,4,4,5,5,4,7,9,4,3,6,1,10,9
knb,3.0,2.0,3.0,0.0,2.0,,,1.0,1.0,1.0,1.0,19.0,1.0,70.0,5.0,2.7,2,1.0,3.0,,,-3.0,-4.0,-2.0,3.0,-4.0,-5.0,1.0,-5.0,0,0,0,-3,-3,0,-4,2,0,-4,-5,-2,1,-4,-5,-5,4,2,4,2,5,5,4,7,8,6,5,7,2,11,6
vtt,3.0,1.0,3.0,1.0,1.0,,,3.0,3.0,1.0,1.0,20.0,1.0,0.0,8.0,1.7,5,4.0,,1.0,1.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,3,-999,-999,-999,-999,0,-999,3,-4,-999,-999,-999,-999,-999,-1,2,4,4,4,5,4,5,7,6,4,5,4,2,11,5
3fv,2.0,5.0,3.0,0.0,2.0,,,2.0,2.0,1.0,1.0,19.0,1.0,50.0,7.0,2.3,0,1.0,3.0,,,2.0,2.0,2.0,3.0,-1.0,-5.0,-3.0,-4.0,-1,2,2,-2,-4,0,-5,-3,-3,-5,-5,0,4,-5,-4,-5,4,2,4,4,4,5,5,7,8,5,4,6,2,10,8
p49,3.0,2.0,3.0,0.0,2.0,,,4.0,3.0,1.0,1.0,19.0,1.0,70.0,1.0,2.7,3,1.0,1.0,,,-4.0,-4.0,3.0,2.0,1.0,-5.0,0.0,0.0,-2,3,-2,-2,-4,0,-4,-3,4,-5,-3,-4,-1,-5,-3,-5,4,1,3,2,4,4,4,9,9,4,2,7,1,11,6
av4,3.0,2.0,3.0,0.0,1.0,,,3.0,3.0,0.0,1.0,21.0,2.0,21.0,4.0,2.3,3,1.0,3.0,,,-1.0,-1.0,2.0,4.0,0.0,-5.0,0.0,-4.0,-1,1,4,-1,-3,0,-4,3,3,-5,-5,-1,3,-4,-3,-2,4,3,4,4,5,4,3,8,8,6,4,7,3,10,8
qxn,2.0,4.0,3.0,0.0,3.0,,,1.0,1.0,1.0,1.0,21.0,2.0,89.0,5.0,3.7,9,2.0,,,,2.0,3.0,-1.0,-5.0,3.0,-2.0,-4.0,0.0,-5,-4,-3,2,-5,-5,2,1,0,-1,-5,5,-5,-5,0,-5,4,1,3,1,4,4,4,7,8,4,3,9,2,10,3
rbc,3.0,2.0,3.0,0.0,1.0,,,3.0,4.0,1.0,0.0,19.0,2.0,72.0,6.0,2.0,0,1.0,3.0,,,-3.0,-4.0,3.0,4.0,-2.0,-5.0,3.0,-3.0,-3,0,0,-3,-4,0,-5,4,3,-5,-5,-4,2,-4,-3,-5,4,4,5,3,3,4,4,7,8,5,4,6,3,9,5
np4,3.0,2.0,3.0,0.0,2.0,,,1.0,1.0,1.0,1.0,23.0,1.0,72.0,7.0,2.7,0,1.0,7.0,,,2.0,2.0,5.0,2.0,0.0,-5.0,0.0,3.0,-2,0,-3,-1,-5,-5,-5,2,-999,0,-5,-1,-1,-5,3,-5,5,3,5,4,5,5,5,-999,-999,-999,-999,-999,-999,-999,-999
cfw,3.0,2.0,3.0,0.0,2.0,,,2.0,4.0,1.0,0.0,18.0,2.0,7.0,4.0,2.0,7,1.0,4.0,,,3.0,2.0,-2.0,-3.0,4.0,-1.0,-3.0,-3.0,-5,3,1,5,1,3,-5,-2,-5,-5,-5,0,0,1,-1,-1,5,4,5,4,5,4,4,7,8,4,3,6,2,10,6
dyb,2.0,5.0,3.0,0.0,2.0,,,3.0,3.0,1.0,1.0,21.0,2.0,73.0,7.0,2.7,3,1.0,5.0,,,-4.0,-4.0,-1.0,3.0,-4.0,-5.0,5.0,-5.0,-2,4,-2,-5,-5,0,-5,-3,4,-5,-5,-5,-2,-5,-4,-5,4,2,5,2,4,4,4,9,10,7,5,8,2,11,10
gpt,2.0,5.0,3.0,0.0,2.0,,,3.0,1.0,1.0,-999.0,25.0,1.0,47.0,6.0,2.0,8,1.0,2.0,,,3.0,2.0,3.0,1.0,-1.0,-5.0,-2.0,1.0,-1,2,-3,1,0,3,-4,2,1,-5,-999,-999,-1,-4,-1,-999,4,4,4,4,4,4,5,8,8,5,2,9,1,11,2
afp,3.0,1.0,5.0,0.0,1.0,,,3.0,1.0,1.0,1.0,20.0,2.0,72.0,4.0,2.7,3,1.0,3.0,,,-1.0,-3.0,2.0,2.0,-2.0,-5.0,0.0,-4.0,1,5,0,-2,-2,5,-5,3,0,-5,-5,-3,2,-4,-5,-4,5,3,5,2,3,4,4,7,8,3,3,5,1,11,2
asv,2.0,5.0,3.0,0.0,2.0,,,4.0,4.0,1.0,1.0,21.0,1.0,72.0,7.0,2.3,2,1.0,3.0,,,-3.0,-4.0,2.0,3.0,-3.0,-5.0,2.0,0.0,1,4,2,-4,-5,2,-5,3,5,-5,-999,0,3,-5,0,-2,3,2,4,2,2,2,4,8,9,6,4,9,2,11,6
cyg,3.0,2.0,3.0,0.0,2.0,,,4.0,3.0,1.0,1.0,21.0,2.0,78.0,7.0,2.7,0,1.0,3.0,,,1.0,0.0,1.0,2.0,1.0,-5.0,-1.0,0.0,1,-3,-999,2,1,-1,-2,-1,-2,-4,-5,1,-2,-4,-1,-5,4,2,3,2,5,4,4,8,9,5,5,7,2,10,8
xyg,3.0,2.0,3.0,0.0,1.0,,,4.0,4.0,1.0,1.0,18.0,1.0,78.0,1.0,3.3,0,1.0,2.0,,,3.0,3.0,3.0,2.0,2.0,-5.0,-1.0,-1.0,0,3,-999,-1,-999,0,-5,-2,5,-5,-999,0,-2,-4,-2,-999,4,1,2,4,4,4,4,7,7,3,3,6,1,11,6
yqq,3.0,2.0,3.0,0.0,2.0,,,4.0,3.0,1.0,1.0,20.0,1.0,79.0,7.0,3.3,4,1.0,1.0,,,2.0,-1.0,4.0,3.0,0.0,-5.0,-1.0,-4.0,3,4,3,-1,0,-1,-3,3,3,-5,-5,-1,2,-5,-4,-5,4,3,4,4,4,4,4,8,9,6,5,8,3,11,3
tpf,3.0,1.0,3.0,0.0,1.0,,,1.0,3.0,1.0,1.0,28.0,2.0,88.0,4.0,2.0,0,1.0,2.0,,,4.0,5.0,-3.0,-5.0,-1.0,3.0,-5.0,1.0,-4,-5,-5,3,3,-4,5,-5,-5,4,4,4,-5,2,3,2,3,2,4,1,4,4,4,6,6,3,1,4,1,7,2
dph,2.0,5.0,3.0,0.0,3.0,,,4.0,3.0,1.0,1.0,18.0,2.0,14.0,7.0,1.3,2,1.0,5.0,,,-4.0,-4.0,2.0,-1.0,-5.0,-5.0,4.0,3.0,2,3,-3,-5,-4,-3,-4,-1,-4,-3,-5,-4,-2,-4,4,-4,5,2,5,2,4,4,4,8,9,4,5,8,2,10,3
abc,3.0,2.0,3.0,0.0,1.0,,,1.0,1.0,1.0,1.0,25.0,1.0,78.0,2.0,3.7,0,1.0,7.0,,,3.0,3.0,3.0,0.0,1.0,-5.0,-2.0,0.0,-2,0,0,1,-3,-4,-3,-1,-3,-2,-2,4,-3,-5,4,-5,4,4,4,3,4,3,3,7,7,3,3,5,-999,10,5
ech,3.0,2.0,3.0,0.0,2.0,,,3.0,3.0,1.0,1.0,18.0,2.0,78.0,2.0,3.0,8,1.0,2.0,,,5.0,3.0,-2.0,-4.0,1.0,-5.0,-5.0,-5.0,-4,3,-5,3,4,-4,-5,3,-5,-5,-5,3,1,-5,-5,-3,5,3,5,4,3,4,4,7,8,5,3,6,1,11,9
p23,3.0,1.0,3.0,0.0,1.0,,,3.0,1.0,1.0,1.0,26.0,2.0,88.0,6.0,3.3,0,1.0,2.0,,,3.0,4.0,-4.0,-4.0,-4.0,-4.0,-5.0,0.0,-2,0,-1,-3,2,3,-2,3,2,-4,-5,3,2,-3,2,-2,4,2,4,2,5,5,5,8,9,4,3,8,1,11,4
hqf,2.0,5.0,3.0,0.0,2.0,,,-999.0,0.0,-999.0,0.0,24.0,1.0,78.0,7.0,2.0,5,2.0,,,,1.0,2.0,1.0,3.0,1.0,1.0,2.0,2.0,0,2,2,0,1,2,0,1,-999,-999,-999,-999,-999,-999,-999,-999,3,3,3,3,3,3,3,6,6,6,6,6,6,6,6
yfg,3.0,2.0,3.0,0.0,2.0,,,1.0,1.0,1.0,1.0,21.0,1.0,75.0,7.0,2.0,4,1.0,3.0,,,0.0,0.0,2.0,2.0,0.0,-4.0,-3.0,-1.0,4,4,0,1,-2,-2,-4,1,-2,-5,-5,2,2,-4,1,-4,5,2,4,3,4,4,4,6,6,5,3,7,1,11,4
mwh,2.0,5.0,3.0,0.0,2.0,,,2.0,1.0,1.0,1.0,21.0,1.0,88.0,7.0,2.0,3,1.0,5.0,,,-2.0,-3.0,3.0,3.0,-2.0,-5.0,4.0,-3.0,1,3,-1,-3,-4,0,-5,3,2,-5,-5,-4,1,-5,-2,-5,4,3,4,3,4,4,4,9,10,6,5,7,2,11,5
nek,3.0,2.0,3.0,0.0,2.0,,,-999.0,3.0,1.0,-999.0,24.0,2.0,88.0,7.0,2.7,0,1.0,4.0,,,2.0,-3.0,3.0,-1.0,2.0,-5.0,-2.0,-5.0,-1,3,2,2,1,3,-3,-1,-5,-5,-5,-5,0,-5,-5,0,5,3,5,3,4,2,4,8,9,5,3,6,2,11,8
ara,3.0,3.0,3.0,0.0,2.0,,,1.0,3.0,1.0,1.0,19.0,2.0,78.0,2.0,3.0,8,1.0,6.0,,,3.0,-2.0,-4.0,-5.0,1.0,2.0,-5.0,-2.0,-5,-5,-4,2,-2,-5,2,-5,-5,-5,-5,-4,-5,-1,-3,-5,5,2,5,2,5,5,4,8,10,3,2,6,1,11,7
gdg,2.0,5.0,3.0,0.0,3.0,,,4.0,3.0,1.0,1.0,20.0,1.0,79.0,4.0,2.7,3,1.0,3.0,,,0.0,0.0,0.0,5.0,-1.0,-5.0,2.0,-4.0,-999,3,4,-2,-5,4,-5,4,2,-5,-5,-4,4,-5,-4,-5,4,4,3,4,4,4,4,6,6,6,4,3,1,11,9
xtk,3.0,2.0,3.0,0.0,1.0,,,4.0,4.0,1.0,1.0,20.0,1.0,86.0,5.0,-999.0,4,1.0,3.0,,,-5.0,-5.0,-2.0,3.0,-4.0,-5.0,-1.0,-2.0,-1,4,1,-4,-5,2,-5,3,3,-5,-5,-5,5,-5,-1,-3,4,3,3,2,4,4,4,8,8,6,5,7,4,10,6
9fs,3.0,2.0,3.0,0.0,1.0,,,1.0,4.0,0.0,0.0,21.0,2.0,78.0,4.0,-999.0,4,1.0,3.0,,,-3.0,-4.0,2.0,3.0,-1.0,-5.0,-3.0,-5.0,1,2,5,-2,-3,0,-2,4,4,-5,-5,-4,-2,-5,-5,-5,4,2,5,1,4,4,4,8,9,5,4,7,2,11,10
4gw,3.0,2.0,3.0,0.0,2.0,,,2.0,2.0,0.0,1.0,18.0,1.0,89.0,7.0,2.0,5,1.0,1.0,,,-2.0,-4.0,4.0,1.0,-5.0,-5.0,1.0,-4.0,2,5,2,-2,-5,-1,-5,-999,4,-5,-5,-5,4,-5,-1,-5,5,4,5,5,5,4,5,7,10,5,3,7,2,11,7
mbf,3.0,2.0,3.0,0.0,1.0,,,3.0,3.0,1.0,1.0,21.0,2.0,78.0,4.0,1.3,5,1.0,4.0,,,1.0,1.0,-2.0,4.0,4.0,-5.0,-3.0,-5.0,-2,-3,2,4,0,2,-4,5,-3,-5,-5,-1,0,-4,-3,-3,5,3,4,4,4,5,4,8,9,4,5,7,2,11,9
ytr,3.0,2.0,3.0,0.0,2.0,,,4.0,4.0,1.0,1.0,19.0,2.0,75.0,1.0,-999.0,8,1.0,6.0,,,-2.0,0.0,-4.0,-4.0,1.0,3.0,-5.0,-2.0,-4,-2,-3,3,2,0,3,-4,-5,1,-1,0,-5,3,-4,2,5,2,5,1,4,3,4,4,7,2,3,8,1,9,2
sbf,3.0,2.0,3.0,0.0,2.0,,,4.0,1.0,1.0,1.0,19.0,2.0,97.0,3.0,2.3,0,1.0,2.0,,,5.0,5.0,2.0,1.0,0.0,-5.0,1.0,-1.0,3,2,4,0,5,4,-3,3,5,-5,-4,4,3,2,1,2,4,1,3,2,4,4,3,6,7,7,6,5,2,11,8
ydy,3.0,2.0,3.0,0.0,2.0,,,-999.0,4.0,-999.0,1.0,21.0,2.0,72.0,1.0,2.7,2,1.0,1.0,,,-4.0,-4.0,2.0,-3.0,-2.0,-5.0,1.0,-4.0,-1,-1,2,-2,-5,-4,-5,-2,2,-5,-5,-3,-4,-3,-3,-5,5,2,4,2,5,4,4,8,9,5,4,7,1,11,8
3ya,3.0,2.0,3.0,0.0,2.0,,,4.0,4.0,1.0,1.0,25.0,2.0,91.0,2.0,3.0,4,1.0,3.0,,,0.0,-2.0,4.0,4.0,-4.0,-5.0,-2.0,-3.0,2,2,0,-3,-2,-2,-5,1,1,-5,-5,-1,4,-5,-2,-1,4,3,5,4,4,4,4,6,7,4,3,9,1,11,2
cyw,2.0,4.0,3.0,0.0,3.0,,,1.0,4.0,1.0,1.0,26.0,2.0,72.0,1.0,-999.0,5,1.0,8.0,,,-3.0,-4.0,-4.0,-3.0,-3.0,-5.0,-3.0,-4.0,-4,-4,2,-3,-5,0,-5,-4,3,-5,-5,-4,-3,-5,-3,-5,3,1,2,1,3,3,3,9,10,5,4,7,2,11,8
dxp,3.0,2.0,3.0,0.0,1.0,,,1.0,1.0,1.0,1.0,19.0,2.0,72.0,4.0,-999.0,3,1.0,3.0,,,-4.0,-5.0,0.0,1.0,-2.0,-5.0,-4.0,-4.0,-2,-1,-1,-3,-4,1,-5,2,-3,-5,-5,-4,-2,-5,-5,-4,4,2,4,2,5,4,4,9,10,5,4,6,1,11,9
vcb,3.0,2.0,3.0,0.0,,,,3.0,3.0,1.0,1.0,20.0,2.0,70.0,3.0,3.0,7,1.0,2.0,,,3.0,2.0,-1.0,-1.0,3.0,-5.0,-5.0,-5.0,-3,0,2,2,4,4,2,1,-1,-5,-4,4,2,-4,-4,-2,5,3,5,2,4,5,5,7,-999,5,4,7,2,9,2
luk,3.0,2.0,3.0,0.0,1.0,,,3.0,3.0,1.0,1.0,23.0,1.0,71.0,6.0,2.7,0,1.0,3.0,,,-2.0,-3.0,0.0,3.0,-3.0,-5.0,1.0,-4.0,1,0,2,-4,-3,0,-5,5,3,-5,-5,-5,2,-5,-3,-999,4,2,4,3,3,3,4,8,9,7,5,7,3,11,10
